"","Participant","Condition","Roundnr","Subjective_performance","Self.efficacy","Fluency","corrected_tick","remaining_rocks","victim_harm","idle_ticks","Human_idle","Robot_idle","Time_score","success"
"219",4042,"C2",3,41,37,39,2968,0,1300,3,2577,51,2968,"win"
"220",4042,"C2",4,41,40,53.2,2134,0,200,5,1772,53,2134,"win"
"221",4042,"C2",5,19,10,22.6,2779,11,2100,1,2517,49,3879,"fatal"
"222",4042,"C2",6,42,40,38.8,1855,0,600,1,1599,49,1855,"win"
"223",4042,"C2",7,24,31,35.16666667,1753,15,1000,1,1513,35,3253,"fatal"
"224",4042,"C2",8,9,0,10.4,3000,15,800,4,2683,61,4500,"timeout"
"225",4043,"C2",1,0,0,10,3000,10,700,1,2721,50,4000,"timeout"
"226",4043,"C2",2,0,0,33.2,2946,0,1100,2,2654,51,2946,"win"
"227",4043,"C2",3,0,0,20.8,2439,0,700,1,2139,50,2439,"win"
"228",4043,"C2",4,0,0,7.2,3000,3,700,6,2577,61,3300,"timeout"
"229",4043,"C2",5,0,0,13.6,1605,15,600,1,1356,41,3105,"fatal"
"230",4043,"C2",6,0,0,21,3000,18,800,6,2789,1238,4800,"timeout"
"231",4043,"C2",7,25,10,42.66666667,3000,18,0,3,2834,292,4800,"timeout"
"232",4043,"C2",8,9,0,54.8,3000,14,300,1,2859,578,4400,"timeout"
"233",4044,"C2",1,19,8,32,3000,17,1100,2,2698,50,4700,"timeout"
"234",4044,"C2",2,56,54,50.6,3000,12,0,1,2713,50,4200,"timeout"
"235",4044,"C2",3,51,63,49.4,2381,0,0,5,2174,47,2381,"win"
"236",4044,"C2",4,30,29,14.4,3000,16,300,1,2612,50,4600,"timeout"
"237",4044,"C2",5,62,54,57.6,2955,0,600,1,2669,60,2955,"win"
"238",4044,"C2",6,17,9,27.6,2280,15,600,1,1895,56,3780,"fatal"
"239",4044,"C2",7,46,43,52.66666667,1817,19,500,2,1575,44,3717,"fatal"
"240",4044,"C2",8,66,62,66.4,1976,0,0,1,1746,49,1976,"win"
"241",4045,"C2",1,36,12,49.2,3000,13,0,1,2800,50,4300,"timeout"
"242",4045,"C2",2,32,32,34,3000,11,1700,2,2825,50,4100,"timeout"
"243",4045,"C2",3,26,40,33.6,3000,18,1300,1,2800,50,4800,"timeout"
"244",4045,"C2",4,47,42,47,3000,5,600,3,2714,61,3500,"timeout"
"245",4045,"C2",5,30,25,11.4,2017,14,600,1,1777,46,3417,"fatal"
"246",4045,"C2",6,27,17,30.2,2233,20,900,1,2005,53,4233,"fatal"
"247",4045,"C2",7,2,20,39.83333333,3000,22,0,3,2730,215,5200,"timeout"
